,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
0,1,BHP,BHP Group Ltd,Materials,$217.58 B,BHP.AX,-0.27,0.32626304565677444
1,2,CBA,Commonwealth Bank of Australia,Financials,$159.62 B,CBA.AX,-6.34,0.2208045402254956
2,3,CSL,CSL Ltd,Health Care,$132 B,CSL.AX,-4.99,0.243086618348252
3,4,NAB,National Australia Bank Ltd,Financials,$88.72 B,NAB.AX,6.39,0.19468606439300706
4,5,WBC,Westpac Banking Corporation,Financials,$69.15 B,WBC.AX,-23.51,0.21239064435286026
5,6,MQG,Macquarie Group Ltd,Financials,$64.17 B,MQG.AX,7.96,0.25430972887832487
6,7,ANZ,Australia and New Zealand Banking Group Ltd,Financials,$62.64 B,ANZ.AX,-20.47,0.1864093349221732
7,8,WDS,Woodside Energy Group Ltd,Energy,$62.05 B,WDS.AX,45.05,0.3451087096234706
8,9,FMG,Fortescue Metals Group Ltd,Materials,$57.15 B,FMG.AX,-19.48,0.4283492219199861
9,10,WES,Wesfarmers Ltd,Consumer Discretionary,$48.91 B,WES.AX,-26.24,0.22580557766956832
10,11,TLS,Telstra Corporation Ltd,Communication Services,$45.41 B,TLS.AX,9.17,0.16548708449820687
11,12,TCL,Transurban Group,Industrials,$44.59 B,TCL.AX,1.33,0.18216413216004063
12,13,WOW,Woolworths Group Ltd,Consumer Staples,$43.88 B,WOW.AX,-4.49,0.1969878670152593
13,14,RIO,RIO Tinto Ltd,Materials,$39.69 B,RIO.AX,-15.18,0.31457912842369873
14,15,GMG,Goodman Group,Real Estate,$35.48 B,GMG.AX,-10.13,0.2846052148477745
15,16,STO,Santos Ltd,Energy,$25.53 B,STO.AX,4.55,0.3173285308237085
16,17,COL,Coles Group Ltd,Consumer Staples,$23.88 B,COL.AX,5.55,0.17298594420139543
17,18,ALL,Aristocrat Leisure Ltd,Consumer Discretionary,$23.1 B,ALL.AX,-19.31,0.2840458679482474
18,19,NCM,Newcrest Mining Ltd,Materials,$19.98 B,NCM.AX,-13.43,0.291436957414429
19,20,S32,SOUTH32 Ltd,Materials,$19.43 B,S32.AX,41.55,0.35748506326014734
20,21,QBE,QBE Insurance Group Ltd,Financials,$18.1 B,QBE.AX,11.72,0.2791515727070898
21,22,RHC,Ramsay Health Care Ltd,Health Care,$16.83 B,RHC.AX,15.68,0.3079146383222162
22,23,SHL,Sonic Healthcare Ltd,Health Care,$15.92 B,SHL.AX,-11.05,0.2148099905985167
23,24,ASX,ASX Ltd,Financials,$15.88 B,ASX.AX,5.86,0.1906106612923421
24,25,BXB,Brambles Ltd,Industrials,$15.14 B,BXB.AX,-2.59,0.25693557603877315
25,26,REA,REA Group Ltd,Communication Services,$15.12 B,REA.AX,-31.22,0.36132304226726236
26,27,CPU,Computershare Ltd,Information Technology,$14.76 B,CPU.AX,43.74,0.26457380510602335
27,28,JHX,James Hardie Industries Plc,Materials,$14.45 B,JHX.AX,-29.17,0.31671751424856404
28,29,SCG,Scentre Group,Real Estate,$14.17 B,SCG.AX,-0.37,0.25972320884735706
29,30,APA,APA Group,Utilities,$13.97 B,APA.AX,27.45,0.2148572378122272
30,31,SUN,Suncorp Group Ltd,Financials,$13.96 B,SUN.AX,0.91,0.22873841265564232
31,32,EDV,Endeavour Group Ltd,Consumer Staples,$13.58 B,EDV.AX,19.75,0.24283288162803857
32,33,COH,Cochlear Ltd,Health Care,$13.31 B,COH.AX,-19.05,0.28128168677605314
33,34,AMC,Amcor Plc,Materials,$13.11 B,AMC.AX,17.9,0.17993120463308732
34,35,WTC,Wisetech Global Ltd,Information Technology,$12.75 B,WTC.AX,24.08,0.5281057751957832
35,36,RMD,Resmed Inc,Health Care,$12.43 B,RMD.AX,-5.79,0.2767760413444345
36,37,XRO,Xero Ltd,Information Technology,$12.35 B,XRO.AX,-39.72,0.44031850293509234
37,38,TPG,TPG Telecom Ltd,Communication Services,$11.45 B,TPG.AX,-0.81,0.2502576171929094
38,39,IAG,Insurance Australia Group Ltd,Financials,$10.75 B,IAG.AX,-14.34,0.25329605288759277
39,40,FPH,Fisher & Paykel Healthcare Corporation Ltd,Health Care,$10.54 B,FPH.AX,-38.8,0.2850438230369417
40,42,DXS,Dexus,Real Estate,$10.22 B,DXS.AX,-12.6,0.2138421858916915
41,43,ORG,Origin Energy Ltd,Utilities,$10.22 B,ORG.AX,25.9,0.32431015819608483
42,44,TLC,The Lottery Corporation Ltd,Consumer Discretionary,$10.11 B,TLC.AX,-3.4,0.22805967794823598
43,d,AIA,Auckland International Airport Ltd,Industrials,$9.87 B,AIA.AX,-1.03,0.2077429201793276
44,47,REH,Reece Ltd,Industrials,$9.5 B,REH.AX,-37.08,0.3475935591129005
45,48,AFI,Australian Foundation Investment Company Ltd,Financials,$9.47 B,AFI.AX,-0.77,0.12305677131392874
46,49,SGP,Stockland,Real Estate,$9.41 B,SGP.AX,-17.05,0.24461930999914439
47,50,MIN,Mineral Resources Ltd,Materials,$9.35 B,MIN.AX,-4.02,0.4705082010792708
48,51,MPL,Medibank Private Ltd,Financials,$9.06 B,MPL.AX,4.44,0.19139093573737975
49,52,CWN,Crown Resorts Ltd,Consumer Discretionary,$8.86 B,CWN.AX,10.09,0.28766898059264806
50,53,GPT,GPT Group,Real Estate,$8.79 B,GPT.AX,-4.77,0.23044502410298834
51,54,SOL,Washington H Soul Pattinson & Company Ltd,Energy,$8.75 B,SOL.AX,-26.69,0.26785595670322854
52,55,VCX,Vicinity Centres,Real Estate,$8.74 B,VCX.AX,19.26,0.2759707870075571
53,56,NST,Northern Star Resources Ltd,Materials,$8.68 B,NST.AX,-25.87,0.4165233284525088
54,57,QAN,Qantas Airways Ltd,Industrials,$8.56 B,QAN.AX,0.0,0.32482373703299916
55,59,LYC,Lynas Rare EARTHS Ltd,Materials,$8.43 B,LYC.AX,70.44,0.507235105490241
56,60,MGR,Mirvac Group,Real Estate,$8.36 B,MGR.AX,-28.14,0.26015306993356296
57,61,ALD,Ampol Ltd,Energy,$8.28 B,ALD.AX,23.53,0.2540181359119509
58,62,TWE,Treasury Wine Estates Ltd,Consumer Staples,$8.27 B,TWE.AX,-1.55,0.24738290084070844
59,63,SPK,Spark New Zealand Ltd,Communication Services,$8.16 B,SPK.AX,-2.68,0.16858629435641603
60,64,IGO,IGO Ltd,Materials,$7.93 B,IGO.AX,38.13,0.4012219442453799
61,65,ALX,Atlas Arteria,Industrials,$7.78 B,ALX.AX,28.12,0.28492803504958303
62,66,BSL,Bluescope Steel Ltd,Materials,$7.72 B,BSL.AX,-26.66,0.340163639217484
63,67,SEK,Seek Ltd,Communication Services,$7.67 B,SEK.AX,-33.22,0.34182205233293267
64,68,WOR,Worley Ltd,Energy,$7.58 B,WOR.AX,22.01,0.32030950859310836
65,69,YAL,Yancoal Australia Ltd,Energy,$7.16 B,YAL.AX,172.36,0.6341424849559991
66,70,MCY,Mercury NZ Ltd,Utilities,$7.14 B,MCY.AX,-14.55,0.41841470598850433
67,71,PLS,Pilbara Minerals Ltd,Materials,$7.11 B,PLS.AX,65.97,0.6378957374302745
68,72,AZJ,Aurizon Holdings Ltd,Industrials,$6.96 B,AZJ.AX,1.34,0.20808408449564414
69,73,EBO,Ebos Group Ltd,Health Care,$6.88 B,EBO.AX,21.03,0.30900706194733313
70,74,AKE,Allkem Ltd,Materials,$6.86 B,AKE.AX,69.98,0.5753099846358649
71,75,IEL,Idp Education Ltd,Consumer Discretionary,$6.82 B,IEL.AX,-1.92,0.40139961634164995
72,76,IPL,Incitec Pivot Ltd,Materials,$6.72 B,IPL.AX,41.8,0.2937685690981198
73,77,ARG,Argo Investments Ltd,Financials,$6.71 B,ARG.AX,0.9,0.14192417701941942
74,78,ORI,Orica Ltd,Materials,$6.57 B,ORI.AX,19.32,0.28697503107285816
75,79,LLC,Lendlease Group,Real Estate,$6.42 B,LLC.AX,-20.0,0.2421914668186957
76,80,OZL,OZ Minerals Ltd,Materials,$6.25 B,OZL.AX,-16.66,0.3693600929286411
77,81,SVW,Seven Group Holdings Ltd,Industrials,$6.12 B,SVW.AX,-16.79,0.25625706087018096
78,82,DMP,Domino's PIZZA Enterprises Ltd,Consumer Discretionary,$6.02 B,DMP.AX,-41.11,0.4182406432354143
79,83,CAR,Carsales.com Ltd,Communication Services,$5.87 B,CAR.AX,6.08,0.3204713082635052
80,84,AGL,AGL Energy Ltd,Utilities,$5.75 B,AGL.AX,-4.89,0.3404412094952291
81,85,CHC,Charter Hall Group,Real Estate,$5.54 B,CHC.AX,-24.94,0.3218600422272826
82,86,CWY,Cleanaway Waste Management Ltd,Industrials,$5.36 B,CWY.AX,-2.62,0.2300379477321319
83,87,ALQ,Als Ltd,Industrials,$5.32 B,ALQ.AX,-14.28,0.28306024527072693
84,88,BEN,Bendigo and Adelaide Bank Ltd,Financials,$5.27 B,BEN.AX,-10.29,0.24794277248040425
85,89,IFT,Infratil Ltd,Utilities,$5.26 B,IFT.AX,2.55,0.2843401352515975
86,90,NXT,NEXTDC Ltd,Information Technology,$5.24 B,NXT.AX,-2.96,0.3293377867122413
87,91,MEZ,Meridian Energy Ltd,Utilities,$5.19 B,MEZ.AX,-15.78,0.34905834764971955
88,92,SDF,Steadfast Group Ltd,Financials,$4.99 B,SDF.AX,16.71,0.21582064470163428
89,93,QUB,QUBE Holdings Ltd,Industrials,$4.94 B,QUB.AX,-9.68,0.22087891901992812
90,95,WHC,Whitehaven Coal Ltd,Energy,$4.81 B,WHC.AX,151.15,0.5002179004077824
91,96,CGF,Challenger Ltd,Financials,$4.8 B,CGF.AX,32.33,0.3164483973482611
92,97,HVN,Harvey Norman Holdings Ltd,Consumer Discretionary,$4.8 B,HVN.AX,-26.95,0.25104377673795414
93,98,PME,Pro Medicus Ltd,Health Care,$4.76 B,PME.AX,-19.98,0.4514056839712611
94,99,EVN,Evolution Mining Ltd,Materials,$4.73 B,EVN.AX,-43.3,0.4683499958033078
95,100,AWC,Alumina Ltd,Materials,$4.48 B,AWC.AX,-6.08,0.32317075561004727
96,101,VEA,Viva Energy Group Ltd,Energy,$4.47 B,VEA.AX,43.63,0.2686918576239862
97,d,BOQ,Bank of Queensland Ltd,Financials,$4.43 B,BOQ.AX,-24.42,0.21496500253979728
98,105,GQG,GQG Partners Inc,Financials,$4.33 B,GQG.AX,-33.41,0.4936373968144255
99,106,JBH,JB Hi-Fi Ltd,Consumer Discretionary,$4.27 B,JBH.AX,-21.48,0.2810194348103948
100,107,SQ2,Block Inc,Information Technology,$4.16 B,SQ2.AX,-43.05,1.039308403951183
101,109,MTS,Metcash Ltd,Consumer Staples,$4.04 B,MTS.AX,13.28,0.22944315802744067
102,110,BPT,Beach Energy Ltd,Energy,$4.03 B,BPT.AX,36.82,0.46987204411616235
103,111,ILU,Iluka Resources Ltd,Materials,$4.03 B,ILU.AX,15.03,0.3883408699619526
104,112,ALU,Altium Ltd,Information Technology,$3.76 B,ALU.AX,-20.97,0.42753853002514086
105,113,FBU,Fletcher Building Ltd,Industrials,$3.66 B,FBU.AX,-32.57,0.2503094035468109
106,114,FLT,Flight Centre Travel Group Ltd,Consumer Discretionary,$3.59 B,FLT.AX,23.51,0.44799642730044303
107,115,TNE,Technology One Ltd,Information Technology,$3.51 B,TNE.AX,19.58,0.3228509105572834
108,116,DOW,Downer Edi Ltd,Industrials,$3.46 B,DOW.AX,-8.9,0.2590803006575837
109,117,NHF,Nib Holdings Ltd,Financials,$3.42 B,NHF.AX,16.8,0.2781976022303097
110,118,UWL,Uniti Group Ltd,Communication Services,$3.4 B,UWL.AX,48.06,0.456066210651133
111,119,A2M,The a2 Milk Company Ltd,Consumer Staples,$3.37 B,A2M.AX,-26.34,0.44927710376241126
112,120,CLW,Charter Hall Long Wale REIT,Real Estate,$3.35 B,CLW.AX,-3.53,0.1885868729040145
113,121,NEC,Nine Entertainment Co. Holdings Ltd,Communication Services,$3.33 B,NEC.AX,-34.34,0.2910494110657332
114,122,RWC,Reliance Worldwide Corporation Ltd,Industrials,$3.29 B,RWC.AX,-20.27,0.3149641972765443
115,123,SCP,Shopping Centres Australasia Property Group,Real Estate,$3.27 B,SCP.AX,12.69,0.21318898496100297
116,124,PMV,Premier Investments Ltd,Consumer Discretionary,$3.19 B,PMV.AX,-29.14,0.27324260092589425
117,125,AMP,AMP Ltd,Financials,$3.18 B,AMP.AX,-16.67,0.3704196865334454
118,126,NWL,Netwealth Group Ltd,Financials,$3.15 B,NWL.AX,-22.24,0.4202713337872133
119,127,ORA,Orora Ltd,Materials,$3.15 B,ORA.AX,13.11,0.21696127987308794
120,128,BLD,Boral Ltd,Materials,$3.08 B,BLD.AX,-61.99,0.5171520454648968
121,129,CNU,Chorus Ltd,Communication Services,$2.99 B,CNU.AX,13.39,0.26926331015885063
122,131,CRN,Coronado Global Resources Inc,Materials,$2.98 B,CRN.AX,113.17,0.5654661861906564
123,132,NHC,New Hope Corporation Ltd,Energy,$2.95 B,NHC.AX,101.71,0.4485908777655664
124,133,NIC,Nickel Industries Ltd,Materials,$2.94 B,NIC.AX,8.59,0.5155263265202583
125,134,ANN,Ansell Ltd,Health Care,$2.92 B,ANN.AX,-46.71,0.29286703491421495
126,135,BKW,Brickworks Ltd,Materials,$2.9 B,BKW.AX,-23.0,0.23216774138489638
127,136,CIA,Champion Iron Ltd,Materials,$2.89 B,CIA.AX,-15.02,0.514726929380342
128,137,GOZ,Growthpoint Properties Australia,Real Estate,$2.84 B,GOZ.AX,-13.21,0.21433736076277063
129,139,HDN,Homeco Daily Needs REIT,Real Estate,$2.78 B,HDN.AX,-2.54,0.3217775497462407
130,140,SGM,Sims Ltd,Materials,$2.78 B,SGM.AX,-13.31,0.3778886071751785
131,141,NSR,National Storage REIT,Real Estate,$2.77 B,NSR.AX,14.29,0.2263706689460212
132,142,AVZ,AVZ Minerals Ltd,Materials,$2.75 B,AVZ.AX,387.5,0.8347948734127637
133,143,CTD,Corporate Travel Management Ltd,Consumer Discretionary,$2.74 B,CTD.AX,-9.62,0.39996596130180595
134,144,BRG,Breville Group Ltd,Consumer Discretionary,$2.68 B,BRG.AX,-34.89,0.3373877550533849
135,145,GOLD,ETFs Metal Securities Australia Ltd,Financials,$2.67 B,GOLD.AX,11.61,0.8996046323020737
136,146,BWP,BWP Trust,Real Estate,$2.65 B,BWP.AX,-4.84,0.17025538611265947
137,147,APE,Eagers Automotive Ltd,Consumer Discretionary,$2.64 B,APE.AX,-37.52,0.3597807431675365
138,148,QUAL,Vaneck MSCI International Quality ETF,Financials,$2.62 B,QUAL.AX,-6.04,0.169956659274024
139,149,GNE,Genesis Energy Ltd,Utilities,$2.61 B,GNE.AX,-19.42,0.3105749929518154
140,150,ZIM,Zimplats Holdings Ltd,Materials,$2.6 B,ZIM.AX,20.75,0.49056211261494537
141,151,APM,APM Human Services International Ltd,Industrials,$2.6 B,APM.AX,-20.28,0.4963324531415855
142,152,SGR,The Star Entertainment Group Ltd,Consumer Discretionary,$2.58 B,SGR.AX,-25.55,0.3715201202366787
143,153,MFG,Magellan Financial Group Ltd,Financials,$2.53 B,MFG.AX,-74.2,0.6580189229709984
144,154,ARB,ARB Corporation Ltd,Consumer Discretionary,$2.52 B,ARB.AX,-29.37,0.3835025887600204
145,155,PXA,Pexa Group Ltd,Real Estate,$2.47 B,PXA.AX,-18.62,0.3514485103022063
146,d,ABP,Abacus Property Group,Real Estate,$2.46 B,ABP.AX,-15.34,0.22203118667620128
147,158,TAH,Tabcorp Holdings Ltd,Consumer Discretionary,$2.4 B,TAH.AX,8.72,0.9904868717116992
148,160,CQR,Charter Hall Retail REIT,Real Estate,$2.35 B,CQR.AX,4.39,0.19746194818612015
149,161,DRR,Deterra Royalties Ltd,Materials,$2.34 B,DRR.AX,-1.99,0.2849025469673839
150,162,LTR,Liontown Resources Ltd,Materials,$2.33 B,LTR.AX,50.99,0.7901580818295761
151,163,PRU,Perseus Mining Ltd,Materials,$2.31 B,PRU.AX,18.06,0.4330109678249333
152,165,EVT,Event Hospitality and Entertainment Ltd,Communication Services,$2.24 B,EVT.AX,12.31,0.312932762357567
153,166,IRE,Iress Ltd,Information Technology,$2.23 B,IRE.AX,-8.33,0.32874375555687524
154,167,BFL,BSP Financial Group Ltd,Financials,$2.22 B,BFL.AX,-8.46,0.3043116357398984
155,168,GNC,Graincorp Ltd,Consumer Staples,$2.19 B,GNC.AX,85.27,0.33346032003088477
156,172,HLS,Healius Ltd,Health Care,$2.14 B,HLS.AX,-18.32,0.283516174727281
157,174,BAP,Bapcor Ltd,Consumer Discretionary,$2.1 B,BAP.AX,-26.43,0.3150106153802206
158,175,VNT,Ventia Services Group Ltd,Industrials,$2.09 B,VNT.AX,43.53,0.2978798094667043
159,176,CMW,Cromwell Property Group,Real Estate,$2.08 B,CMW.AX,-12.16,0.23151131592908508
160,177,MGF,Magellan Global Fund,Financials,$2.08 B,MGF.AX,-25.21,0.202449717326279
161,178,WEB,Webjet Ltd,Consumer Discretionary,$2.08 B,WEB.AX,13.28,0.39414983958359506
162,179,CSR,CSR Ltd,Materials,$2.07 B,CSR.AX,-27.75,0.26086445404668873
163,180,SNZ,Summerset Group Holdings Ltd,Health Care,$2.05 B,SNZ.AX,-27.67,0.35817655458631503
164,181,DDR,Dicker Data Ltd,Information Technology,$2.03 B,DDR.AX,9.7,0.4473902991581345
165,182,ELD,Elders Ltd,Consumer Staples,$2.02 B,ELD.AX,10.33,0.2779156592704885
166,183,SUL,Super Retail Group Ltd,Consumer Discretionary,$1.99 B,SUL.AX,-32.62,0.3224126697635061
167,184,NUF,Nufarm Ltd,Materials,$1.98 B,NUF.AX,9.21,0.40435644654432623
168,185,DHG,Domain Holdings Australia Ltd,Communication Services,$1.98 B,DHG.AX,-38.15,0.3634072217910388
169,187,LNK,Link Administration Holdings Ltd,Information Technology,$1.96 B,LNK.AX,-23.09,0.35858886493292585
170,188,SFR,Sandfire Resources Ltd,Materials,$1.96 B,SFR.AX,-25.12,0.4243072067584658
171,189,WAM,WAM Capital Ltd,Financials,$1.95 B,WAM.AX,-17.51,0.1776863992683134
172,190,SKC,Skycity Entertainment Group Ltd,Consumer Discretionary,$1.95 B,SKC.AX,-19.24,0.26808867888899196
173,192,CIP,Centuria Industrial REIT,Real Estate,$1.92 B,CIP.AX,-20.68,0.2289017966590639
174,193,VUK,Virgin Money Uk Plc,Financials,$1.9 B,VUK.AX,-38.46,0.39427696223524006
175,195,IFL,Insignia Financial Ltd,Financials,$1.88 B,IFL.AX,-33.64,0.31086024039669297
176,196,PDN,Paladin Energy Ltd,Energy,$1.86 B,PDN.AX,22.55,0.858585532996017
177,197,SMR,Stanmore Resources Ltd,Energy,$1.84 B,SMR.AX,205.08,1.013649167667262
178,199,CXO,Core Lithium Ltd,Materials,$1.8 B,CXO.AX,352.17,0.9185399945704293
179,200,IPH,IPH Ltd,Industrials,$1.79 B,IPH.AX,7.2,0.2706749966126555
180,202,PDL,Pendal Group Ltd,Financials,$1.77 B,PDL.AX,-41.61,0.4205573577320015
181,203,MXT,Metrics Master Income Trust,Financials,$1.73 B,MXT.AX,-4.15,0.13875121047977007
182,205,WPR,Waypoint REIT,Real Estate,$1.72 B,WPR.AX,-15.91,0.1869508329466907
183,206,AIZ,Air New Zealand Ltd,Industrials,$1.72 B,AIZ.AX,-64.71,0.5470874425733275
184,209,HUB,HUB24 Ltd,Financials,$1.7 B,HUB.AX,-24.28,0.47243040266720954
185,211,PPT,Perpetual Ltd,Financials,$1.69 B,PPT.AX,-23.8,0.26419196553722973
186,213,INA,Ingenia Communities Group,Real Estate,$1.68 B,INA.AX,-33.39,0.28602336166964143
187,214,CEN,Contact Energy Ltd,Utilities,$1.66 B,CEN.AX,-10.2,0.46984114156627665
188,215,AUB,AUB Group Ltd,Financials,$1.66 B,AUB.AX,-15.79,0.280514714843254
189,220,ABC,Adbri Ltd,Materials,$1.63 B,ABC.AX,-28.65,0.3109929058975797
190,221,MVW,Vaneck Australian EQUAL Weight ETF,Financials,$1.61 B,MVW.AX,-5.33,0.1462154961676636
191,223,LSF,L1 Long Short Fund Ltd,Financials,$1.6 B,LSF.AX,1.95,0.24960125304352893
192,224,CNI,Centuria Capital Group,Real Estate,$1.58 B,CNI.AX,-26.84,0.28943188632131583
193,225,ARF,Arena REIT,Real Estate,$1.56 B,ARF.AX,24.24,0.26082570266441063
194,226,RBD,Restaurant Brands New Zealand Ltd,Consumer Discretionary,$1.55 B,RBD.AX,0.81,0.0232419067777174
195,227,LOV,Lovisa Holdings Ltd,Consumer Discretionary,$1.55 B,LOV.AX,0.0,0.45815879463192627
196,228,IVC,Invocare Ltd,Consumer Discretionary,$1.54 B,IVC.AX,-6.06,0.22009950600727018
197,229,JLG,Johns LYNG Group Ltd,Industrials,$1.53 B,JLG.AX,19.35,0.44899074998368343
198,230,GRR,Grange Resources Ltd,Materials,$1.53 B,GRR.AX,174.42,0.7296129771430906
199,231,PNI,Pinnacle Investment Management Group Ltd,Financials,$1.52 B,PNI.AX,-34.59,0.45663937163054674
200,232,WLE,Wam Leaders Ltd,Financials,$1.51 B,WLE.AX,-5.33,0.19271826155680596
201,234,BRN,Brainchip Holdings Ltd,Information Technology,$1.51 B,BRN.AX,67.62,0.8947440623385164
202,236,TLX,TELIX Pharmaceuticals Ltd,Health Care,$1.49 B,TLX.AX,-19.76,0.6390776245888697
203,237,LIC,Lifestyle Communities Ltd,Real Estate,$1.48 B,LIC.AX,-6.93,0.39811505567207617
204,238,JDO,Judo Capital Holdings Ltd,Financials,$1.46 B,JDO.AX,-37.14,0.4253178017296906
205,239,PSI,PSC Insurance Group Ltd,Financials,$1.46 B,PSI.AX,19.77,0.3528468922594148
206,241,SYA,Sayona Mining Ltd,Materials,$1.44 B,SYA.AX,136.91,1.0487780785130822
207,242,HMC,Home Consortium Ltd,Real Estate,$1.44 B,HMC.AX,-14.29,0.46056915656469904
208,243,CCP,Credit Corp Group Ltd,Financials,$1.43 B,CCP.AX,-28.44,0.3390945817426796
209,244,CHN,Chalice Mining Ltd,Materials,$1.43 B,CHN.AX,-44.44,0.677853445395634
210,245,CGC,Costa Group Holdings Ltd,Consumer Staples,$1.39 B,CGC.AX,-9.39,0.3280063924821748
211,246,AAC,Australian Agricultural Company Ltd,Consumer Staples,$1.39 B,AAC.AX,65.47,0.33560282930940105
212,258,BKL,Blackmores Ltd,Consumer Staples,$1.36 B,BKL.AX,-3.25,0.39799975035009527
213,249,OCL,Objective Corporation Ltd,Information Technology,$1.36 B,OCL.AX,-5.17,0.45842245795058945
214,250,MAQ,Macquarie Telecom Group Ltd,Communication Services,$1.34 B,MAQ.AX,17.82,0.3714201665822275
215,251,CQE,Charter Hall Social Infrastructure REIT,Real Estate,$1.32 B,CQE.AX,0.28,0.2698174054344887
216,253,PPH,Pushpay Holdings Ltd,Information Technology,$1.31 B,PPH.AX,-31.02,0.48817961589248393
217,254,LFG,Liberty Financial Group,Financials,$1.31 B,LFG.AX,-43.42,0.31501477276708867
218,255,WAF,West African Resources Ltd,Materials,$1.3 B,WAF.AX,28.79,0.47078498536880076
219,257,KLS,Kelsian Group Ltd,Industrials,$1.3 B,KLS.AX,-35.81,0.31984450444445756
220,258,MFF,MFF Capital Investments Ltd,Financials,$1.3 B,MFF.AX,-22.38,0.16906853490198204
221,259,CDA,Codan Ltd,Information Technology,$1.29 B,CDA.AX,-59.72,0.4947406427640484
222,260,LFS,Latitude Group Holdings Ltd,Financials,$1.29 B,LFS.AX,-45.15,0.38268914545977645
223,261,IAP,Irongate Group,Real Estate,$1.28 B,IAP.AX,28.57,0.32871430260629286
224,263,IMU,Imugene Ltd,Health Care,$1.26 B,IMU.AX,-41.89,0.9431999386235159
225,264,SLR,Silver Lake Resources Ltd,Materials,$1.26 B,SLR.AX,-22.86,0.4612741954602549
226,265,GOR,Gold Road Resources Ltd,Materials,$1.26 B,GOR.AX,-9.13,0.39862729519817647
227,266,CMM,Capricorn Metals Ltd,Materials,$1.23 B,CMM.AX,74.14,0.4810591875963801
228,267,DEG,De Grey Mining Ltd,Materials,$1.2 B,DEG.AX,-28.57,0.5721487987860483
229,268,BKI,BKI Investment Company Ltd,Financials,$1.2 B,BKI.AX,0.63,0.1361574177544919
230,269,BGA,Bega Cheese Ltd,Consumer Staples,$1.18 B,BGA.AX,-36.59,0.26176944841797073
231,270,SP1,Southern Cross Payments Ltd,Information Technology,$1.18 B,SP1.AX,0.0,0.0
232,271,AUI,Australian United Investment Company Ltd,Financials,$1.18 B,AUI.AX,-6.38,0.12056390264650348
233,273,CKF,Collins Foods Ltd,Consumer Discretionary,$1.17 B,CKF.AX,-21.5,0.3328584356098646
234,274,GUD,G.U.D. Holdings Ltd,Consumer Discretionary,$1.16 B,GUD.AX,-28.26,0.35113484146179647
235,275,MGH,Maas Group Holdings Ltd,Industrials,$1.16 B,MGH.AX,-32.59,0.3940361175132062
236,277,LKE,Lake Resources N.L.,Materials,$1.15 B,LKE.AX,155.39,0.9680159726298906
237,278,SDR,Siteminder Ltd,Information Technology,$1.15 B,SDR.AX,-16.21,0.5451198131935138
238,279,NVX,Novonix Ltd,Information Technology,$1.15 B,NVX.AX,5.8,0.915519928584253
239,282,RRL,Regis Resources Ltd,Materials,$1.1 B,RRL.AX,-40.37,0.4733772559454246
240,283,COF,Centuria Office REIT,Real Estate,$1.1 B,COF.AX,-24.13,0.2604423155069746
241,284,BGP,Briscoe Group Australasia Ltd,Consumer Discretionary,$1.08 B,BGP.AX,19.51,0.11362187924355902
242,285,PTM,Platinum Asset Management Ltd,Financials,$1.07 B,PTM.AX,-63.06,0.3700594992478489
243,286,HSN,Hansen Technologies Ltd,Information Technology,$1.07 B,HSN.AX,-14.47,0.3348655360045862
244,287,NAN,Nanosonics Ltd,Health Care,$1.06 B,NAN.AX,-39.73,0.5147086287834289
245,288,RFF,Rural Funds Group,Real Estate,$1.05 B,RFF.AX,3.17,0.2938782473498494
246,289,KAR,Karoon Energy Ltd,Energy,$1.04 B,KAR.AX,40.38,0.47271420239077694
247,290,VSL,Vulcan Steel Ltd,Materials,$1.03 B,VSL.AX,10.56,0.31506202480926304
248,292,NWS,News Corporation,Communication Services,$1.02 B,NWS.AX,-26.41,0.32814131333332913
249,293,WTN,Winton Land Ltd,Real Estate,$1.02 B,WTN.AX,-11.31,0.41489363581744404
250,294,UMG,United Malt Group Ltd,Consumer Staples,$1.02 B,UMG.AX,-23.37,0.24417804156726622
251,295,CXL,CALIX Ltd,Materials,$1 B,CXL.AX,140.7,0.7676179587449439
252,296,TGR,Tassal Group Ltd,Consumer Staples,$990.33 M,TGR.AX,27.0,0.2662473654976068
253,298,MND,Monadelphous Group Ltd,Industrials,$987.87 M,MND.AX,1.77,0.3501286490661192
254,299,ING,Inghams Group Ltd,Consumer Staples,$981.23 M,ING.AX,-33.67,0.2831821011526792
255,300,DUI,Diversified United Investment Ltd,Financials,$976.78 M,DUI.AX,-11.43,0.15363464269146437
256,301,DBI,Dalrymple Bay Infrastructure Ltd,Industrials,$976.65 M,DBI.AX,-2.48,0.22621315742921277
257,302,HGH,Heartland Group Holdings Ltd,Financials,$972.36 M,HGH.AX,-15.03,0.3070877017769147
258,303,JIN,Jumbo Interactive Ltd,Consumer Discretionary,$966.48 M,JIN.AX,-12.6,0.4100055386217468
259,305,GMA,Genworth Mortgage Insurance Australia Ltd,Financials,$954.12 M,GMA.AX,-1.58,0.3760260681063333
260,306,HTA,Hutchison Telecommunications (Australia) Ltd,Communication Services,$950.08 M,HTA.AX,-36.36,0.4627799292967573
261,308,ACL,Australian Clinical Labs Ltd,Health Care,$940.55 M,ACL.AX,33.14,0.3535575904273407
262,310,PNV,Polynovo Ltd,Health Care,$929.67 M,PNV.AX,-50.7,0.6994440529334581
