,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
525,647,KED,Keypath Education International Inc,Consumer Discretionary,$239.46 M,KED.AX,-70.44,0.590969889096024
526,652,FFX,Firefinch Ltd,Materials,$236.25 M,FFX.AX,-50.0,0.9723018627350638
527,654,MLD,Maca Ltd,Materials,$235.78 M,MLD.AX,-10.39,0.3698707623608576
528,655,GDG,Generation Development Group Ltd,Financials,$235.34 M,GDG.AX,49.7,0.3846262846488525
529,656,TIG,Tigers Realm Coal Ltd,Materials,$235.2 M,TIG.AX,125.0,1.265679454580279
530,658,KSC,K & S Corporation Ltd,Industrials,$234.63 M,KSC.AX,9.03,0.38897570892737254
531,659,GAL,Galileo Mining Ltd,Materials,$234.24 M,GAL.AX,385.19,2.4608148481117516
532,660,KSL,Kina Securities Ltd,Financials,$233.85 M,KSL.AX,-23.11,0.25339045750949635
533,661,SVM,Sovereign Metals Ltd,Materials,$233.01 M,SVM.AX,-25.0,0.6874627945531209
534,663,EOS,Electro Optic Systems Holdings Ltd,Industrials,$232.41 M,EOS.AX,-65.08,0.6959605314389912
535,664,PYC,PYC Therapeutics Ltd,Health Care,$232.21 M,PYC.AX,-51.33,0.659783539038134
536,665,MAY,Melbana Energy Ltd,Energy,$227.3 M,MAY.AX,258.89,1.396050464860035
537,666,TWR,Tower Ltd,Financials,$225.79 M,TWR.AX,-14.05,0.4232142594319863
538,667,PIA,Pengana International Equities Ltd,Financials,$225.31 M,PIA.AX,-32.82,0.25093987819804053
539,668,LOT,Lotus Resources Ltd,Materials,$225.13 M,LOT.AX,35.29,0.9455655836804282
540,669,NZM,NZME Ltd,Communication Services,$224.53 M,NZM.AX,70.59,0.4728719473807415
541,670,C79,Chrysos Corporation Ltd,Industrials,$224.25 M,C79.AX,-42.15,0.7692364807224249
542,671,FID,Fiducian Group Ltd,Financials,$223.49 M,FID.AX,-1.66,0.32391530914107386
543,672,HUM,Humm Group Ltd,Financials,$222.87 M,HUM.AX,-53.61,0.530131640997613
544,673,ARX,Aroa Biosurgery Ltd,Health Care,$222.77 M,ARX.AX,-38.68,0.4442649443451135
545,674,IHWL,Ishares Core MSCI World Ex Aus Esg Leaders Aud Hed,Financials,$222.76 M,IHWL.AX,-18.97,0.19641232888857466
546,676,HE8,Helios Energy Ltd,Energy,$221.34 M,HE8.AX,-48.49,0.7351035712587006
547,677,AIS,Aeris Resources Ltd,Materials,$221.29 M,AIS.AX,-61.79,0.6860272857846063
548,678,ADN,Andromeda Metals Ltd,Materials,$220.65 M,ADN.AX,-60.56,0.8098633886645401
549,679,WOT,Wotso Property,Real Estate,$220.54 M,WOT.AX,-6.9,0.24028180355330864
550,680,BRL,Bathurst Resources Ltd,Materials,$220.06 M,BRL.AX,161.36,0.9663479784335722
551,681,WGN,Wagners Holding Company Ltd,Materials,$218.58 M,WGN.AX,-43.72,0.43936671319773474
552,682,LYL,Lycopodium Ltd,Industrials,$218.57 M,LYL.AX,1.1,0.2906418066570525
553,683,LRK,Lark Distilling Co. Ltd,Consumer Staples,$218.39 M,LRK.AX,-10.49,0.5987094338183236
554,684,NCZ,New Century Resources Ltd,Materials,$216.79 M,NCZ.AX,-49.85,0.5872756604223148
