Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap
2192,AUK,Aumake Ltd,$0.01,-16.67%,-9.09%,-37.50%,-80.00%,Consumer Discretionary,$3.86 M
2193,KNG,Kingsland Minerals Ltd,$0.15,3.45%,7.14%,-25.00%,-25.00%,Materials,$3.86 M
2194,SLM,Solis Minerals Ltd,$0.09,3.33%,2.20%,-19.13%,-53.50%,Materials,$3.85 M
2195,TTA,TTA Holdings Ltd,$0.03,0.00%,0.00%,3.70%,-30.00%,Consumer Discretionary,$3.85 M
2196,MOH,Moho Resources Ltd,$0.02,0.00%,-11.11%,-36.84%,-64.71%,Materials,$3.83 M
2197,AVM,Advance Metals Ltd,$0.01,-20.00%,-11.11%,-38.46%,-54.89%,Materials,$3.82 M
2198,WOO,Wooboard Technologies Ltd,$0.00,0.00%,0.00%,0.00%,-66.67%,Information Technology,$3.82 M
2199,FRS,Forrestania Resources Ltd,$0.13,-7.14%,0.00%,-38.10%,-35.00%,Materials,$3.81 M
2200,M2M,MT Malcolm Mines NL,$0.06,0.00%,-1.59%,-20.51%,-69.00%,Materials,$3.8 M
2201,RON,Ronin Resources Ltd,$0.13,8.33%,8.33%,-23.53%,-35.00%,Materials,$3.77 M
2202,RGI,Roto-Gro International Ltd,$0.01,0.00%,0.00%,0.00%,-73.17%,Industrials,$3.77 M
2203,OMX,Orange Minerals NL,$0.09,1.19%,1.19%,-39.29%,-58.54%,Materials,$3.68 M
2204,NFL,Norfolk Metals Ltd,$0.13,0.00%,-7.14%,-13.33%,-35.00%,Materials,$3.68 M
2205,KCC,Kincora Copper Ltd,$0.05,-9.09%,-16.67%,-46.24%,-79.17%,Materials,$3.66 M
2206,DUN,Dundas Minerals Ltd,$0.10,-5.00%,-13.64%,-26.92%,-52.50%,Materials,$3.65 M
2207,AMD,Arrow Minerals Ltd,$0.00,0.00%,-20.00%,-33.33%,-66.67%,Materials,$3.65 M
2208,HHY,HHY Fund,$0.05,0.00%,0.00%,0.00%,0.00%,Financials,$3.65 M
2209,M3M,M3 Mining Ltd,$0.12,-4.17%,-8.00%,-17.86%,-42.50%,Materials,$3.61 M
2210,OM1,Omnia Metals Group Ltd,$0.14,7.69%,0.00%,-6.67%,-30.00%,Materials,$3.6 M
2211,APS,Allup Silica Ltd,$0.10,0.00%,-15.65%,-46.11%,-51.50%,Materials,$3.59 M
2212,POL,Polymetals Resources Ltd,$0.09,-1.11%,-1.11%,-31.54%,-55.50%,Materials,$3.57 M
2213,NSE,New Standard Energy Ltd,$0.00,0.00%,0.00%,0.00%,0.00%,Energy,$3.55 M
2214,PIM,Pinnacle Minerals Ltd,$0.15,0.00%,-9.38%,-14.71%,-27.50%,Materials,$3.53 M
